id,hashtag,postCount,recentPostCount1h,recentPostCount6h,recentPostCount24h,trendScore,createdAt,updatedAt
9e1c6e74-06a7-4854-a20d-2ccaa581c737,ugegbenwanyi,4,0,0,0,0,2026-04-09 07:00:00.36319,2026-05-12 21:30:00.65
70c5e7e7-ab3f-48df-bdaf-0b988732b5ae,keepcrossriverclean,1,0,0,0,0,2026-05-11 01:00:00.247721,2026-05-12 21:30:00.654
d6aa0b2e-a99f-4945-b44b-fb0dcbd07c57,investing101,1,0,0,0,0,2026-04-12 18:30:00.123029,2026-04-23 13:30:00.257
a3f1e3bf-b76c-45fb-8f89-cabe3258744e,eaglesviewphotography,1,0,0,0,0,2026-04-13 09:00:00.085012,2026-05-12 21:30:00.759
76c8d608-65e6-45ce-b092-3b34b8308b29,entertainment,66,0,0,0,0,2026-04-10 00:30:00.286739,2026-05-12 21:30:00.15
c3e7b0c4-14eb-406c-b227-b2067198d925,goals,1,0,0,0,0,2026-04-13 07:30:00.087618,2026-04-20 07:00:00.256
466d445c-55eb-4660-9730-2d5b74b111db,consistency,1,0,0,0,0,2026-04-13 07:30:00.091408,2026-04-20 07:00:00.273
fd133ef5-e3df-4f96-a3ad-50542b06e95a,growthjourney,1,0,0,0,0,2026-04-13 07:30:00.097148,2026-04-20 07:00:00.276
b100f338-7b23-415f-a552-9fe468d5e608,motivation,1,0,0,0,0,2026-04-13 07:30:00.10166,2026-04-20 07:00:00.279
0281dfb9-ae9c-478a-b693-33f83298da39,nigeriaentrepreneurs,1,0,0,0,0,2026-04-13 07:30:00.10733,2026-04-20 07:00:00.282
d33ddb69-b419-44e1-954f-960945cae454,dailywisdom,7,0,0,0,0,2026-04-14 19:00:00.35483,2026-05-12 21:30:00.536
911f1c00-69ae-4fb6-bcb1-a34549cc62e2,patienceispower,6,0,0,0,0,2026-04-14 19:00:00.346648,2026-05-12 21:30:00.546
5c631eb6-8b10-45bb-92a6-96bdf7211f08,mindfulliving,5,0,0,0,0,2026-04-14 19:00:00.375459,2026-05-12 21:30:00.561
adb2c574-7cdb-48cc-9a6a-324517a8549b,softstrength,7,0,0,0,0,2026-04-14 19:00:00.359884,2026-05-12 21:30:00.563
fcbce63d-b916-436d-bde5-ab39913373bc,lifewithkids,1,0,0,0,0,2026-04-14 19:00:00.390657,2026-05-12 21:30:00.625
8d8e79b5-26bd-4e63-8309-42e00a8d5cda,parentingtruths,2,0,0,0,0,2026-04-14 19:00:00.368431,2026-05-12 21:30:00.639
